id,date,Count,error
416931,2020-02-17,,"{""message"":""socket hang up"",""name"":""Error"",""stack"":""Error: socket hang up\n    at createHangUpError (_http_client.js:322:15)\n    at TLSSocket.socketOnEnd (_http_client.js:425:23)\n    at TLSSocket.emit (events.js:187:15)\n    at endReadableNT (_stream_readable.js:1092:12)\n    at process._tickCallback (internal/process/next_tick.js:63:19)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""416931\"",\"":up\"":\""2020-02-17\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""ECONNRESET""}"
92331708101912,2020-02-16,0,
417540,2020-02-18,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""417540\"",\"":up\"":\""2020-02-18\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
436840,2020-02-17,102,
417220,2020-02-19,0,
417790,2020-02-22,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""417790\"",\"":up\"":\""2020-02-22\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
436840,2020-02-15,1,
92331708101912,2020-02-18,,"{""message"":""read ECONNRESET"",""name"":""Error"",""stack"":""Error: read ECONNRESET\n    at TLSWrap.onStreamRead (internal/stream_base_commons.js:111:27)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""92331708101912\"",\"":up\"":\""2020-02-18\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":205},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""ECONNRESET""}"
414511,2020-02-20,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""414511\"",\"":up\"":\""2020-02-20\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
31921801166017,2020-02-17,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""31921801166017\"",\"":up\"":\""2020-02-17\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":205},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
92931708101440,2020-02-17,0,
31921801166017,2020-02-23,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""31921801166017\"",\"":up\"":\""2020-02-23\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":205},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
416830,2020-02-21,,"{""message"":""write EPROTO"",""name"":""Error"",""stack"":""Error: write EPROTO\n    at WriteWrap.afterWrite [as oncomplete] (net.js:788:14)"",""config"":{""url"":""https://e6wa7gkf0i.execute-api.us-west-2.amazonaws.com/dev/devicedata"",""method"":""post"",""data"":""{\""TableName\"":\""Parameters\"",\""KeyConditionExpression\"":\""DeviceID = :key and  begins_with(DeviceTimeStamp, :up)\"",\""ExpressionAttributeValues\"":{\"":key\"":\""416830\"",\"":up\"":\""2020-02-21\""},\""ScanIndexForward\"":true}"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Content-Type"":""application/json;charset=utf-8"",""User-Agent"":""axios/0.19.0"",""Content-Length"":197},""transformRequest"":[null],""transformResponse"":[null],""timeout"":0,""xsrfCookieName"":""XSRF-TOKEN"",""xsrfHeaderName"":""X-XSRF-TOKEN"",""maxContentLength"":-1},""code"":""EPROTO""}"
